belongs_to_collection,budget,genres,homepage,original_language,popularity,production_companies,production_countries,release_date,runtime,status,revenue
0,10900000,3,0,1,13,95,6,3,105,1,16505460
0,31000000,3,1,1,7,96,1,1,105,1,15134293
0,72000000,75,0,1,21,97,1,2,177,1,210000000
0,14000000,23,0,1,4,98,18,2,97,1,18535191
0,15000000,76,0,1,3,99,1,4,189,1,34562222
0,75000000,77,0,1,13,100,1,4,123,1,67631903
0,35000000,78,0,1,5,101,1,3,111,1,22034832
0,100000000,79,1,1,12,102,1,4,122,1,93820758
0,20000000,46,0,1,5,103,1,1,106,1,51684798
1,93000000,80,1,1,32,104,31,4,178,1,871368364
0,25000000,81,0,1,5,61,1,2,86,1,41604473
0,22531334,3,0,8,2,105,32,4,145,1,311
0,22531334,50,1,1,11,106,1,1,100,1,253625427
0,22531334,14,0,1,4,107,1,2,107,1,1796389
0,12716953,82,0,12,6,108,33,1,113,1,18814720
1,90000000,30,0,1,8,31,1,3,90,1,347325802
1,150000000,83,1,1,12,2,1,2,88,1,448000000
0,1500000,84,0,1,2,47,1,1,94,1,5585154
0,25000000,31,0,1,8,109,1,1,115,1,91036760
0,7500000,46,1,1,16,110,1,3,95,1,60722734
0,40000000,85,1,8,15,111,34,3,125,1,7400000
0,22531334,50,0,1,6,73,1,2,105,1,15500000
0,10000000,86,0,1,8,112,1,4,111,1,12008642
0,18000000,7,1,1,10,113,35,4,100,1,46201432
0,2400000,3,0,1,5,114,1,4,120,1,5731103
0,4000000,1,1,1,10,115,6,3,90,1,9800000
0,6000000,87,0,1,8,0,1,1,93,1,5206
0,22531334,88,0,1,1,116,36,3,97,1,2452566
0,65000000,47,1,1,12,117,1,4,95,1,211780824
0,10000000,15,1,1,12,118,6,3,100,1,33000000
0,2000000,89,0,1,1,119,37,2,90,1,300000
1,22531334,90,1,1,2,0,1,2,92,1,120680
0,9000000,1,0,1,9,120,1,2,79,1,4350774
0,22531334,33,1,1,10,121,1,1,93,1,3065860
1,110000000,91,0,1,1,122,1,2,133,1,407711549
0,14320000,92,0,1,1,123,1,3,176,1,14000000
0,22531334,14,0,1,7,124,38,3,101,1,31466789
0,3500000,26,1,1,5,125,1,1,108,1,615816
0,18000000,3,1,1,7,126,21,4,98,1,382174
0,4000000,93,0,1,6,45,1,4,108,1,11000000
0,22531334,94,1,1,4,127,1,4,88,1,9188
1,22531334,11,0,1,10,45,1,1,90,1,19510371
0,39200000,95,1,3,14,128,39,3,126,1,86758912
1,22531334,96,0,1,9,129,1,2,87,1,147214049
0,25000000,97,0,1,5,130,40,1,113,1,432274
0,22531334,98,0,1,1,131,1,4,108,1,18
0,22531334,8,0,1,1,132,1,1,100,1,16905
0,22531334,99,0,1,4,0,6,1,92,1,241
0,4000000,33,1,1,10,133,1,1,91,1,52425855
0,22531334,31,0,1,3,134,1,1,90,1,5091888
1,20000000,100,0,1,9,135,41,1,72,1,109862682
1,3500000,45,0,13,1,0,28,1,126,1,8262833
0,22531334,101,0,1,1,136,1,1,94,1,447784
0,63600000,102,0,1,6,137,1,4,102,1,19412993
0,32000000,103,0,1,8,47,10,1,107,1,18552460
0,3500000,47,0,1,4,138,1,1,98,1,113783
0,22531334,15,0,1,1,139,1,2,88,1,12277096
0,125000,26,1,1,11,140,1,3,90,1,3200000
0,9000000,47,0,1,6,66,1,3,93,1,17096053
0,40000000,18,1,1,10,141,1,2,99,1,62771059
0,22531334,104,0,1,1,0,1,1,90,1,25000
1,22531334,105,0,1,9,142,1,2,87,1,1723872
0,19000000,106,0,1,11,143,1,3,122,1,144216468
1,5000000,107,0,1,7,144,6,2,113,1,41833347
1,2000000,108,0,1,11,145,37,4,95,1,24600832
1,22531334,11,0,1,9,146,1,1,87,1,55600000
0,22531334,22,0,1,6,147,1,4,102,1,2585639
1,3500000,109,0,1,9,45,1,1,121,1,12000000
1,11000000,110,0,1,9,148,1,3,98,1,2807854
1,12468389,1,0,1,6,149,42,4,97,1,29007412
1,38000000,31,0,1,1,150,21,2,106,1,207283925
0,90000000,111,0,1,5,151,43,1,91,1,14828081
0,22531334,14,0,1,0,152,1,1,74,1,532654
1,15000000,112,0,1,15,89,1,4,93,1,125212904
1,32000000,51,1,1,11,153,18,3,133,1,156167015
0,30000000,113,1,1,6,154,44,3,130,1,31148328
0,22531334,3,0,1,6,155,45,4,119,1,20957001
0,22531334,15,0,1,10,156,1,2,104,1,21830957
0,6000000,114,1,15,10,157,46,3,141,1,17555141
0,82500000,115,0,1,10,158,1,2,107,1,237681299
0,14000000,116,0,1,1,159,1,1,93,1,161001698
1,5000000,1,0,1,3,160,35,4,95,1,3833507
0,259000,117,0,1,1,73,1,4,65,1,921000
0,180000000,118,1,1,16,161,1,2,98,1,521311860
0,22531334,26,0,1,12,162,1,1,111,1,16337881
1,4000000,119,0,1,5,163,1,1,86,1,16675000
0,40000000,120,1,1,7,164,1,2,110,1,79700000
0,22531334,1,0,1,6,165,6,3,91,1,37915971
1,22531334,55,0,1,14,166,1,3,90,1,13168027
0,4500000,47,1,1,3,167,1,4,97,1,744816
0,22531334,3,0,16,1,168,47,4,96,1,115605
0,7000000,29,0,1,1,169,18,4,87,1,136203
0,60000000,16,0,1,13,170,1,2,108,1,77920346
0,24000000,121,1,1,4,171,1,2,107,1,12372410
0,12600000,116,0,1,12,172,1,3,106,1,19054534
0,85000000,122,0,1,10,173,21,4,97,1,144000000
0,10000000,123,0,1,12,174,18,3,100,1,3916303
0,55000000,124,0,1,8,175,1,4,91,1,110000000
0,75000000,124,1,1,14,176,1,3,87,1,527068851
0,3200000,125,0,1,6,177,1,4,94,1,10000000
0,2000000,126,0,1,5,178,1,3,97,1,2801508
0,22531334,126,0,1,3,179,1,2,105,1,1543112
1,15000000,127,1,1,7,180,10,2,92,1,66000000
0,22531334,128,0,1,8,181,48,2,96,1,4352094
0,100000000,129,0,1,8,182,49,1,136,1,108103450
0,22000000,20,0,1,7,183,50,4,105,1,26570463
1,7000000,130,1,1,20,184,1,2,124,1,470654000
0,22531334,131,0,1,2,49,1,3,95,1,3418141
0,6700000,45,0,2,1,185,2,2,143,1,31000000
0,20000000,113,0,1,13,186,1,3,105,1,1969193
0,35000000,11,1,1,7,187,1,1,111,1,173965010
1,35000000,132,1,15,6,188,51,3,90,1,83061158
0,10000000,81,0,1,11,189,1,2,106,1,85300000
1,22531334,1,0,17,3,190,52,3,107,1,5010362
0,2600000,8,1,1,2,0,25,3,105,1,3166000
0,12000000,133,1,8,7,191,53,2,132,1,10652498
0,22531334,15,0,1,8,192,1,4,97,1,754935
0,5000000,46,1,1,2,0,1,2,98,1,31649
1,49000000,134,1,1,17,193,25,1,127,1,352927224
0,22531334,1,1,1,0,194,1,2,53,1,500
0,22531334,135,0,1,11,195,54,1,110,1,6585516
0,50000000,136,1,1,8,196,1,1,105,1,28931401
0,7500000,14,1,1,9,197,18,4,100,1,26096852
0,6244087,137,0,1,12,198,1,2,145,1,638641
0,14000000,14,0,1,2,199,1,1,139,1,2474000
0,110000000,50,0,1,8,200,55,2,120,1,72178895
0,800000,14,0,1,1,201,1,4,114,1,1001437
0,22531334,47,0,1,4,202,56,4,93,1,2225098
0,22531334,138,0,1,0,0,1,1,101,1,206728
0,30000000,135,1,1,22,203,18,4,140,1,8574339
0,22531334,43,1,1,6,204,1,1,94,1,27297451
1,15000000,20,0,1,3,205,1,3,87,1,5600000
1,22531334,1,0,9,1,206,29,3,95,1,1622164
0,22000000,139,0,1,12,26,1,3,127,1,505000000
0,20000000,140,0,1,5,207,1,4,118,1,57588485
0,22531334,141,0,1,3,208,1,4,102,1,5790448
0,70000000,142,1,1,7,209,57,2,88,1,18662027
0,22531334,24,1,15,13,210,51,3,114,1,80768
0,22531334,46,0,1,8,211,1,4,103,1,17519169
0,22531334,143,0,1,3,212,1,2,96,1,43885000
0,19000000,144,1,1,9,213,1,4,109,1,18755936
1,23000000,145,0,1,14,214,1,3,101,1,351583407
0,18339750,133,1,18,8,215,58,3,156,1,92180910
0,102000000,31,0,1,10,216,59,2,99,1,147080413
0,7920000,146,0,1,11,217,6,4,140,1,14560084
1,12560000,1,0,5,4,218,8,1,105,1,42700000
0,98000000,147,0,1,7,219,60,4,119,1,10017322
0,8500000,148,0,1,7,220,1,1,104,1,5001655
0,22531334,3,0,13,0,0,28,4,95,1,30292
0,11178,47,0,1,0,221,61,3,104,1,34659
0,9500000,1,0,1,6,222,1,3,88,1,7800000
0,55000000,149,1,1,11,223,62,3,121,1,203427584
0,1000000,150,0,1,1,224,1,4,89,1,9000000
1,22531334,151,0,15,11,225,51,4,83,1,2287714
0,24554,3,0,1,0,0,0,3,95,1,140021
0,22531334,90,0,1,1,226,1,3,99,1,187349
0,50000000,1,0,1,12,227,24,2,99,1,87528173
0,22531334,14,1,15,7,228,51,4,133,1,17636261
0,10000000,152,1,1,3,229,1,4,99,1,14000
0,22531334,87,1,1,3,0,1,2,108,1,143597
0,15000000,36,0,1,10,230,1,4,135,1,13060843
0,15000000,149,1,1,15,231,1,3,148,1,56255142
1,27000,1,1,1,11,232,1,3,92,1,3151130
0,40000000,153,0,1,9,233,24,3,93,1,23937870
0,22531334,154,1,1,0,0,0,3,119,1,20
1,21000000,155,1,1,8,234,1,1,99,1,72417394
0,72500000,1,1,1,7,235,1,3,116,1,162966177
0,12000000,5,0,1,6,236,1,4,94,1,46044400
0,50000000,155,1,1,12,224,1,2,87,1,83761844
0,65000000,15,1,1,10,45,1,4,119,1,250821495
0,22531334,8,0,1,8,237,1,2,127,1,602042
0,2915739,156,0,19,1,0,2,1,132,1,14000000
0,70000000,157,0,1,18,238,1,2,98,1,164000000
0,22531334,3,0,1,3,239,1,3,102,1,23020
0,65000000,158,0,1,13,240,1,3,120,1,217764291
1,22531334,7,0,1,3,241,1,4,91,1,10
0,30000000,7,1,1,15,242,1,2,95,1,66486080
0,12000000,46,0,1,2,243,1,4,100,1,12902790
0,19000000,3,0,5,4,244,8,1,130,1,23550000
0,7000000,126,0,1,7,245,1,3,109,1,48126384
0,25000000,159,0,1,4,246,14,1,95,1,1614266
0,9000000,7,1,1,29,247,1,4,117,1,276921998
0,22531334,160,0,1,4,248,1,4,113,1,6841570
0,24000000,141,0,1,11,249,1,1,110,1,23510601
0,28000000,161,0,1,14,250,63,1,87,1,11373501
0,6000000,46,1,1,9,251,6,1,117,1,254700832
0,16000000,126,1,1,12,252,1,1,99,1,5367030
0,65000000,85,1,1,11,253,1,4,137,1,163442937
0,22531334,162,0,20,2,254,64,2,110,1,310724
1,160000000,101,1,1,27,255,21,4,137,1,653428261
1,22531334,163,0,13,2,256,28,2,99,1,5873871
0,60000000,3,0,1,5,257,21,1,104,1,52322400
0,25000000,13,0,1,8,109,1,1,101,1,56489558
0,3000000,1,0,1,2,258,1,1,89,1,9563393
0,9000000,164,0,1,2,259,1,4,94,1,26055
1,11000000,165,0,1,16,260,1,1,96,1,48572000
0,225000,15,0,1,2,26,1,4,87,1,2850000
0,22531334,166,0,1,2,7,1,3,105,1,2945242
0,22531334,87,0,1,5,49,1,2,107,1,22886222
1,22531334,167,0,1,7,261,1,1,101,1,6193901
0,100000000,168,1,1,15,262,65,4,167,1,193772504
0,100000000,169,1,1,12,263,1,4,101,1,100086793
0,108000000,36,1,1,20,264,1,4,129,1,22678555
0,30000000,47,0,1,5,66,1,2,104,1,21800302
0,26000000,1,0,1,8,265,1,3,97,1,110230332
0,15000000,170,0,1,10,266,66,1,96,1,8459458
0,9500000,14,1,5,9,267,67,2,168,1,12250
0,16000000,47,0,1,2,268,1,3,97,1,12
0,22531334,26,0,1,5,0,68,1,89,1,6297
1,175000000,171,1,1,19,269,1,2,109,1,350170057
0,55000000,172,1,1,12,270,1,1,141,1,113020255
0,60000000,173,0,1,10,271,6,1,88,1,118338361
0,115000000,174,0,1,15,272,1,3,109,1,286140700
1,20000000,175,0,15,10,45,51,2,126,1,27793200
0,12000000,176,0,1,10,26,1,1,113,1,68706993
0,22531334,5,0,1,2,273,6,3,96,1,750000
0,85000000,177,0,1,14,274,1,1,106,1,183018522
0,135000000,178,1,1,24,275,69,4,156,1,532950503
0,90000000,179,0,1,9,276,1,1,100,1,161626121
0,12000000,180,0,1,8,47,1,3,83,1,5669831
1,71000000,122,0,1,9,277,1,2,85,1,294456605
0,26000000,1,0,1,10,278,1,3,102,1,116400000
0,40000000,181,1,1,8,279,8,3,108,1,60965854
0,15000000,14,1,1,5,280,1,4,117,1,20529194
1,100000000,182,1,1,15,281,37,4,108,1,384335608
0,22531334,183,0,1,2,282,35,1,100,1,5588800
0,23000000,184,1,12,11,283,32,4,139,1,5837674
0,5000000,46,1,1,6,284,1,3,97,1,346592
0,22531334,185,0,1,3,224,1,4,132,1,3225000
0,1,141,0,11,0,0,2,2,140,1,3
0,25000000,3,1,1,9,2,1,2,124,1,38307627
1,75000000,186,0,1,18,285,70,2,115,1,117698894
0,22531334,187,0,15,0,0,71,4,116,1,9833553
1,30000000,3,0,1,10,286,18,2,118,1,27610873
0,11000000,65,0,1,2,287,1,1,124,1,2200000
0,22531334,1,0,1,12,288,6,3,95,1,1289998
1,27000000,188,0,1,12,289,1,4,115,1,60527873
0,22531334,15,1,1,1,290,1,2,88,1,152810
0,22531334,189,0,1,1,291,72,2,93,1,88000
1,60000000,190,0,1,11,292,73,1,105,1,50549107
1,22531334,15,0,1,4,45,1,3,113,1,14681192
0,36000000,14,1,1,15,293,1,4,97,1,87416021
0,12,191,0,1,1,294,6,4,84,1,1
0,1000000,192,1,15,11,295,51,1,117,1,3301446
0,350000,8,1,1,3,296,1,4,85,1,3515061
0,110000000,193,1,1,13,297,74,3,107,1,121790373
1,7200000,51,1,1,12,298,18,4,120,1,116019547
0,22531334,1,0,1,7,61,1,3,96,1,9500000
0,7000000,81,0,1,2,299,1,4,93,1,10229331
0,20500000,67,1,1,8,300,75,4,102,1,10089373
0,22531334,8,1,1,1,301,1,2,99,1,393970
0,130000000,194,0,1,9,302,76,2,124,1,119269486
1,45000000,195,1,1,22,303,1,2,89,1,788241776
0,75000000,196,1,1,8,304,1,4,99,1,14567883
0,65000000,71,1,1,13,305,77,4,136,1,93525586
0,22531334,197,1,1,1,306,78,4,87,1,3162153
1,2200000,198,0,11,1,307,2,2,154,1,9700000
0,3300000,85,0,13,4,308,28,2,120,1,5249225
0,15400000,14,0,5,8,309,79,2,123,1,25762027
0,90000000,87,0,1,11,310,1,4,157,1,60289912
0,7000,199,1,1,7,311,1,4,77,1,424760
0,12000000,3,1,1,8,312,1,2,99,1,101332962
1,22531334,200,0,5,8,313,8,1,109,1,1644060
0,22531334,23,0,1,6,314,1,2,98,1,3351735
0,3300000,18,1,1,6,315,1,1,83,1,64110728
0,22531334,47,0,1,1,0,6,3,112,1,1192322
0,13100000,201,1,2,1,316,2,2,140,1,4100000
1,40000000,202,0,1,11,317,1,4,106,1,91753202
0,4500000,203,0,1,7,318,1,3,97,1,10609321
0,500000,204,0,1,3,319,1,3,97,1,17000000
0,16000000,152,0,1,7,320,6,2,112,1,17374595
1,30000000,118,0,1,5,321,1,4,79,1,100491683
0,14000000,205,0,1,7,322,1,3,115,1,5080409
0,35000000,206,0,1,12,323,6,1,76,1,19478106
0,22531334,207,0,1,4,324,80,3,97,1,830129
0,100000000,208,0,1,12,325,21,4,143,1,170877916
0,74500000,209,0,1,5,326,56,2,109,1,62172050
0,8000000,126,0,1,5,327,1,3,98,1,2000000
0,22531334,14,0,1,9,328,56,3,130,1,68929150
0,55000000,3,0,1,11,329,1,4,163,1,100230832
1,25000000,155,0,1,10,330,81,1,90,1,229736344
0,22531334,3,0,1,0,0,1,3,92,1,12000
0,36000000,14,0,1,2,331,82,4,189,1,1345903
0,20000000,55,0,1,5,332,1,4,85,1,2128186
0,75000000,1,0,1,9,333,1,2,106,1,195745823
0,6843500,1,0,6,4,334,15,4,0,1,10703234
0,7075038,210,0,13,10,335,28,2,140,1,9868942
0,22531334,3,0,5,2,336,83,3,89,1,126463
1,60000000,155,0,1,8,337,1,4,89,1,129832389
1,18000000,1,0,1,7,338,1,2,95,1,72179579
0,22531334,47,1,1,8,339,1,1,87,1,900689
0,22531334,211,1,1,11,340,1,3,74,1,32230907
0,22531334,212,0,1,3,341,18,4,103,1,1919653
0,40000000,213,0,1,15,342,1,3,112,1,75505856
0,13000000,214,0,1,5,343,1,2,95,1,7820688
0,30000000,215,1,1,9,344,1,3,98,1,58405313
0,3000000,65,0,2,1,0,2,2,155,1,6000000
0,22531334,3,1,1,3,345,18,4,100,1,8251
0,22531334,45,0,1,2,346,1,1,93,1,1469
0,22531334,216,0,1,4,347,1,1,105,1,8143225
1,17000000,217,0,1,7,348,1,4,100,1,125586134
0,30000000,218,0,1,12,349,1,3,102,1,14110589
0,19000000,33,0,1,8,350,25,4,125,1,6682098
1,10000000,219,1,1,15,89,1,1,90,1,40485039
0,22531334,3,0,1,10,351,1,2,115,1,4104962
1,18500000,220,0,1,22,352,18,3,137,1,183316455
0,87000000,65,1,1,8,353,1,3,141,1,148336445
0,28000000,221,0,1,8,354,1,1,115,1,97594140
0,800000,15,0,7,0,355,84,4,83,1,966214
0,65000000,1,1,1,7,26,1,2,83,1,179379533
0,60000000,22,0,1,14,356,21,2,116,1,149705852
0,22531334,3,1,15,8,357,51,3,130,1,69932387
0,22531334,222,0,1,11,358,15,3,90,1,373530
0,2000000,36,0,1,14,359,1,3,100,1,4601043
0,3750000,223,1,2,1,360,2,1,155,1,5000000
0,30000000,224,1,1,11,361,85,2,94,1,151119219
1,19000000,7,0,1,7,73,1,2,91,1,40996665
0,2900000,81,1,1,11,362,1,4,90,1,296557
0,26000000,225,0,1,7,363,86,1,111,1,29657751
0,9000000,47,0,1,1,0,87,4,100,1,706000
0,22531334,226,0,1,7,364,8,3,115,1,641100
1,6000000,96,1,1,5,365,1,3,89,1,18197398
0,22531334,1,1,9,1,366,29,3,84,1,2012927
0,810000,227,0,1,3,367,37,1,106,1,1258000
0,40000000,227,1,1,17,368,1,4,130,1,109676311
0,10000000,1,1,1,7,369,1,1,116,1,3400278
1,13000000,228,0,1,13,370,88,1,113,1,96060858
0,16000000,172,0,1,2,371,25,3,113,1,109130
0,57000000,77,0,1,10,372,89,1,123,1,147845033
0,13000000,229,1,1,7,373,1,4,104,1,11130889
0,22531334,230,0,1,8,374,1,3,90,1,300859
0,22531334,65,0,1,9,375,1,1,95,1,70918
1,40000000,231,0,1,9,376,56,2,88,1,160583018
0,7000000,15,0,1,7,377,1,2,108,1,50888000
0,762241,3,0,20,5,378,90,3,140,1,285930
1,110000000,167,1,1,13,379,1,1,102,1,337580051
0,22531334,87,1,1,10,380,35,4,94,1,1986615
0,22531334,8,1,1,2,0,1,4,83,1,832735
0,22531334,232,0,1,6,381,1,1,103,1,4300000
0,10300000,14,0,5,6,382,91,4,120,1,47748
0,22531334,47,0,1,2,383,0,4,93,1,343786
1,14000000,91,0,1,8,384,1,4,97,1,875386
1,30000000,233,0,1,14,385,59,3,89,1,254134910
0,85000000,5,0,1,12,386,21,3,124,1,315156409
0,80000000,234,1,1,5,387,92,2,110,1,5989640
0,23000000,15,0,1,6,388,18,1,111,1,12
0,22531334,158,1,1,6,389,1,1,102,1,1787926
0,22531334,235,0,1,2,390,1,3,116,1,1009620
1,5000000,236,0,1,7,391,88,3,93,1,12534961
0,22531334,46,0,1,1,47,1,3,101,1,3790493
0,22531334,29,0,1,9,392,93,3,84,1,4910682
0,1288000,117,0,1,9,393,1,2,130,1,6000000
0,250000,3,0,1,0,0,0,3,82,1,340147
1,18000000,237,0,1,6,394,88,1,94,1,88923251
1,7000000,238,0,1,7,395,1,3,104,1,25405445
0,22531334,239,0,7,2,396,84,1,124,1,203781
0,22000000,96,1,1,10,397,1,3,110,1,147880543
0,90000000,240,1,1,14,398,1,3,150,1,171120329
0,22531334,241,0,1,8,64,1,3,124,1,126297830
0,3000000,242,0,1,2,258,1,2,100,1,15369573
0,22531334,126,0,1,11,47,1,4,121,1,18782400
1,17000000,3,0,1,12,7,1,2,99,1,270000000
0,16500000,1,0,1,6,399,1,3,108,1,13620075
0,16000000,3,0,1,12,400,94,2,100,1,318982
1,113,243,0,1,9,401,1,2,113,1,115103979
0,2000000,0,0,1,0,0,0,3,120,1,1672730
1,35000000,1,1,1,24,402,21,2,100,1,459270619
0,19000000,158,0,1,9,224,1,1,99,1,174999005
0,15000000,244,0,1,2,0,95,4,99,1,23000
1,25000000,245,0,13,4,403,96,1,85,1,6500000
0,22531334,29,1,9,0,0,97,3,120,1,1612100
0,18000000,47,0,1,2,89,1,1,100,1,6375979
0,3200000,47,0,1,6,0,1,2,100,1,4267218
1,20000000,246,0,1,7,404,1,4,92,1,22165608
0,22531334,247,0,1,8,405,1,3,104,1,16589540
0,22531334,248,0,1,0,26,1,1,91,1,1300000
0,10500000,249,1,2,2,45,2,1,149,1,9400000
0,48000000,46,0,1,5,76,1,4,132,1,35743308
0,13500000,3,1,1,4,406,1,3,129,1,187674
0,22531334,15,0,1,2,66,1,3,85,1,3335984
0,25000000,250,1,1,5,407,1,3,122,1,15478800
0,60000000,14,0,1,8,408,1,2,170,1,186883563
1,4500000,251,1,13,2,409,28,1,65,1,3468423
1,9000000,7,0,1,28,410,25,3,104,1,108782847
0,250000,252,0,1,2,411,1,2,85,1,609524
0,590235,253,1,1,9,412,37,1,92,1,1725381
0,35000000,135,0,1,6,413,1,4,92,1,63215872
0,12000000,126,1,1,8,414,25,4,95,1,66351
0,22531334,14,0,1,9,76,1,2,110,1,37803872
0,2000000,22,1,1,2,415,1,4,97,1,7306
0,25000000,5,0,1,10,416,1,4,99,1,11838218
0,2800000,254,1,1,13,417,1,2,80,1,3600000
0,15000000,255,0,1,18,45,1,4,84,1,44065653
0,22531334,8,0,1,1,0,0,3,152,1,25
1,80000000,124,0,1,12,418,1,3,89,1,473226958
0,22531334,256,0,5,8,419,98,3,145,1,741766
