belongs_to_collection,homepage,budget,popularity,runtime,production_companies,production_countries
0,1,40000000,10,110,45,1
0,1,22649291,8,80,2436,1
1,0,20000000,10,94,26,1
0,1,135000000,11,107,2437,1
0,0,22649291,3,101,2438,0
0,0,1300000,13,97,2439,331
0,1,160000000,29,148,2440,18
0,0,22649291,4,99,2441,1
0,0,22649291,0,95,0,0
0,1,13000000,13,102,2442,1
1,1,60000000,19,101,2443,1
0,0,10500000,10,92,2444,1
1,1,40000000,11,94,2445,1
0,0,25000000,9,98,2446,4
1,0,50000000,10,80,2447,1
0,0,1600000,13,113,2448,1
0,1,22649291,7,91,2449,1
0,0,12500000,5,101,2450,1
0,0,337,1,89,73,1
1,1,8500000,9,98,2451,332
0,1,40000000,8,129,2452,1
0,1,22649291,2,98,2453,1
0,1,22649291,4,100,0,1
0,0,11180,1,120,2454,61
0,1,22000000,8,93,2455,1
0,0,28000000,5,111,224,1
0,1,22649291,7,101,0,1
0,0,75000000,18,90,2456,1
0,0,51000000,10,116,2457,1
0,1,26000000,7,136,2458,1
0,0,2361000,1,101,73,1
1,1,258000000,28,139,2459,1
1,0,6500000,8,97,480,1
0,0,40000000,7,135,2460,1
0,0,22649291,11,95,2461,75
0,0,22649291,10,95,2462,1
0,0,318000,9,85,2463,35
0,0,22649291,1,117,2464,333
0,0,22649291,1,90,73,1
0,1,75000000,7,124,2465,334
0,0,80000000,5,131,2466,1
0,0,21000000,8,117,2467,1
0,0,8000000,7,95,2468,1
0,0,22649291,7,103,224,1
0,0,150000000,19,114,2469,1
0,0,10400000,3,120,2470,3
0,0,22649291,5,98,2471,335
0,0,4900000,8,97,2472,18
0,0,5000000,14,106,2473,97
0,0,5115000,13,100,224,1
0,0,6000000,4,110,2461,1
0,1,22649291,3,104,2474,8
0,1,22649291,7,101,2475,1
0,0,120000000,14,115,2476,44
0,0,92620000,14,153,2477,121
1,0,22649291,2,117,2478,2
0,0,1500000,9,110,0,1
0,0,350000,17,96,2479,1
0,1,22649291,7,114,2480,21
0,0,22649291,0,102,0,0
0,0,20000000,8,106,61,1
0,0,22649291,6,100,2481,1
0,0,20000000,9,103,2482,1
1,1,30000000,22,107,2483,1
0,0,6000000,5,108,224,1
0,1,22649291,6,105,2484,10
0,1,6250000,1,144,1790,2
0,0,22649291,1,206,2485,2
0,0,22649291,10,107,26,1
1,0,22649291,2,95,2486,1
0,0,10000000,3,95,224,336
0,1,80000000,9,87,2487,337
0,0,947000,1,85,73,1
0,0,18000000,10,108,2488,1
1,0,18000000,18,107,2489,1
0,0,12000000,3,116,548,1
0,0,22649291,1,97,2490,1
0,0,70000000,13,118,2491,1
0,0,26350000,5,94,2492,18
0,0,22649291,12,76,2493,1
0,1,1934000,1,172,2494,35
0,0,7000000,9,112,2495,1
0,0,22649291,10,91,2496,1
1,0,50000000,7,97,2497,338
1,0,60000000,7,100,2498,1
0,0,3000000,6,81,2499,1
0,0,13300000,7,108,2500,339
0,0,22649291,10,105,2501,1
0,0,6000000,7,104,2502,1
0,1,15000000,10,99,2503,340
1,1,3500000,8,79,2504,1
0,1,2500000,12,102,2505,1
1,0,35000000,19,126,2506,18
0,0,22649291,9,100,2507,1
0,0,2000000,5,121,61,1
0,0,22649291,3,111,2508,152
0,0,22649291,11,104,2509,18
1,0,16000000,10,107,2510,1
0,0,160000,5,91,2511,1
0,1,22649291,3,94,0,35
0,0,22649291,1,106,2512,28
0,0,32000000,9,120,2513,1
0,0,22649291,0,112,2514,1
0,0,22649291,14,117,2515,1
0,1,2000000,11,129,2516,341
0,0,22649291,13,120,2517,1
0,0,24000000,8,134,2518,1
0,0,2000000,1,93,0,28
0,0,22649291,5,100,2519,342
1,0,22649291,8,106,1844,51
1,1,17000000,9,95,2520,343
1,0,30000000,11,83,26,1
0,1,4000000,4,120,2521,8
0,0,1000000,6,96,2522,1
0,0,22649291,9,99,2523,1
0,0,1700000,2,90,2524,1
0,1,55000000,22,123,2525,1
1,0,11000000,8,91,2526,1
1,0,9000000,8,96,45,1
0,1,70000000,6,97,2527,1
1,0,27000000,7,112,2528,1
0,1,22649291,9,119,2529,3
0,1,12000000,7,120,2530,80
0,1,45000000,10,112,2531,1
1,1,2500000,14,92,61,1
0,1,7000000,10,102,2532,1
1,1,22649291,2,110,2533,51
1,1,37000000,33,133,2534,1
0,1,47000000,9,80,45,1
0,0,22649291,0,84,2535,35
0,1,22649291,7,97,2536,18
0,0,22649291,19,119,2537,344
1,1,68000000,9,124,2538,1
1,0,100000000,14,91,2,1
0,0,12000000,4,101,2539,1
1,0,22649291,13,106,2540,345
0,0,4881000,2,123,0,32
0,1,22649291,0,88,2541,1
0,0,22649291,5,92,2542,18
0,0,22649291,3,121,2543,346
0,1,4000000,11,94,2544,1
0,1,25000000,12,94,2545,1
0,0,4357373,11,99,2546,347
0,1,3500000,1,159,0,2
1,1,140000000,22,126,927,1
0,0,22649291,1,93,0,348
0,0,25000000,16,106,2547,18
0,1,15000000,21,93,2548,1
0,0,3950000,5,127,2549,1
0,0,4000000,2,113,2550,349
0,1,10000000,6,88,2551,1
1,1,125000000,19,123,2552,21
1,0,22649291,5,116,2553,51
0,0,500000,5,93,2554,37
0,1,40000000,21,140,2555,59
0,0,1800000,10,95,2556,18
0,0,22649291,6,86,0,1
0,0,22649291,9,115,224,1
0,1,4,1,119,2557,1
0,0,325000,6,105,2558,1
0,1,2500000,8,95,2559,1
0,1,40000000,13,95,2560,1
1,0,80000000,7,177,2561,1
0,1,78000000,11,103,2562,1
1,0,12000000,9,107,2563,1
0,0,13500000,9,104,47,1
0,0,5400000,11,201,45,1
0,0,15000000,2,93,2564,1
0,1,100000,9,92,2565,1
0,1,22649291,14,92,2566,1
0,0,900000,3,86,0,0
0,1,15774948,9,97,2567,124
0,0,7500000,6,101,2568,1
0,1,22649291,3,82,2569,1
1,1,110000000,18,121,2570,1
0,0,22649291,4,92,0,0
0,0,22649291,4,114,2571,0
0,0,22649291,5,101,2572,1
0,0,22649291,0,107,2573,29
0,1,930000,10,100,2574,88
0,0,20000000,7,107,2575,1
0,0,9000000,11,108,2576,1
0,1,35000000,8,123,2577,129
0,0,31000000,6,110,89,1
0,1,120000000,17,95,269,1
0,0,22649291,3,79,76,1
0,1,3600000,10,112,2578,1
1,0,13000000,13,102,89,1
0,0,22649291,1,73,45,1
0,0,200000,0,95,2579,5
0,1,16000000,11,113,2580,1
0,1,5000000,11,86,2581,88
0,0,22649291,13,112,2582,1
0,0,16500000,9,126,2583,1
0,0,5000000,4,101,2584,1
1,1,110000000,26,117,2585,1
1,0,26000000,6,127,2586,350
1,0,22649291,0,94,0,1
0,0,22649291,1,118,2266,28
0,1,22649291,0,95,2587,1
0,1,22649291,1,84,2588,70
0,0,6000000,14,94,322,1
0,1,22649291,1,92,0,0
1,0,20000000,11,94,2589,351
0,0,35000000,9,97,2590,21
0,0,22649291,7,82,2591,1
0,0,20000000,5,110,506,1
0,0,11000000,8,108,2592,352
1,0,90000000,21,88,303,1
1,0,3500000,12,138,2593,6
0,0,22649291,1,119,2594,1
0,0,10000000,1,164,2595,2
0,1,57000000,9,131,2596,124
0,0,22649291,12,128,26,1
0,1,150000000,11,92,2597,1
0,0,22649291,0,96,2598,6
0,0,900000,3,72,1870,1
0,1,140000000,19,120,2599,57
0,0,11000000,8,197,73,103
0,1,25000000,9,114,2600,1
0,0,22649291,5,95,2601,8
0,1,22649291,7,99,2602,1
0,0,13000000,6,127,2603,353
0,1,14000000,12,134,2604,88
0,0,27000000,15,193,146,1
0,1,9000000,13,135,2605,1
1,1,65000000,21,102,2606,1
0,0,36000000,9,129,879,1
0,0,6000000,7,96,2607,328
0,0,4000000,4,152,26,1
0,0,24500,2,67,2608,1
0,0,8138338,4,125,2609,354
0,0,45000000,10,110,2610,355
0,0,1750000,4,101,2611,37
0,0,22500000,7,113,2558,336
0,0,22649291,0,104,2612,1
0,1,22649291,11,86,2613,9
0,0,22649291,9,105,2614,98
0,0,8000000,4,116,689,1
1,1,17000000,8,109,2615,106
0,0,1000000,2,87,0,1
0,0,20000000,11,158,2616,1
0,0,20000000,2,121,2617,1
0,0,22649291,6,89,0,1
0,1,1000000,7,100,2618,1
1,1,22649291,4,71,2619,51
1,0,22649291,12,108,2620,53
0,0,35000000,10,91,2621,1
0,0,22649291,7,110,89,1
0,0,50000000,11,132,2622,25
0,1,15000000,7,112,2623,356
0,1,22649291,7,83,0,1
0,0,22649291,4,98,2624,32
0,0,22649291,4,97,61,1
0,0,11000000,6,102,2625,1
0,0,6000000,1,118,2626,1
1,0,22649291,5,93,327,1
0,1,66000000,8,146,2627,1
0,1,10000000,2,120,2628,28
0,1,50000000,10,116,2629,18
1,1,75000000,11,87,2630,1
1,0,25000000,10,99,2631,1
1,0,25000000,4,86,2632,1
0,1,6500000,5,113,2633,1
0,0,70000000,9,96,2634,1
0,0,22649291,9,90,2635,8
0,1,22700000,9,96,2636,1
1,1,90000000,10,96,42,1
1,0,1300000,3,132,2637,2
0,0,33000000,7,105,2638,67
0,1,7000000,6,116,2639,1
0,0,22649291,0,88,0,0
0,0,12000000,5,88,2640,1
0,0,22649291,4,104,0,6
0,0,52000000,10,170,2641,88
0,0,343000,12,90,2642,1
1,0,12305523,13,107,145,37
0,1,27000000,12,105,2643,1
0,0,2500000,0,106,2266,28
1,0,22649291,8,94,2644,1
0,1,25000000,6,111,2645,1
0,1,22649291,2,89,0,1
0,0,35000000,2,114,2646,1
0,0,30000000,12,123,2647,1
1,1,65000000,18,117,2648,1
0,0,22000000,12,112,2649,1
0,1,1400000,5,125,2650,357
0,1,40000000,9,123,2651,358
0,1,2500000,8,96,2652,1
0,0,22649291,1,108,2653,1
0,0,15000000,6,105,2654,359
0,0,22649291,2,120,2655,28
0,0,3500000,5,115,2656,1
0,1,20000000,9,94,2657,360
0,0,22649291,5,132,2658,18
0,1,65000000,13,94,2659,361
0,0,3000000,6,131,2660,362
0,0,5000000,7,116,1467,8
0,0,4550000,8,133,224,1
0,1,2500000,1,87,0,1
0,0,56000000,7,118,31,1
0,0,62000000,12,93,2661,1
0,0,22649291,0,94,2662,1
0,0,17000000,12,81,2663,1
1,0,6000000,18,113,2664,1
0,0,27000000,9,101,2665,1
0,0,3000000,16,75,964,1
0,0,14000000,14,145,2666,1
0,0,2033000,11,102,45,1
0,0,50000000,9,125,2667,1
0,1,20000000,7,92,2668,1
1,0,22649291,8,105,2669,332
0,1,11097000,3,174,2670,2
0,1,70000000,15,86,2671,1
0,1,29000000,8,91,61,1
0,1,22649291,7,90,2672,51
0,0,22649291,3,96,2673,8
0,0,22649291,5,106,2674,1
1,0,20000000,13,108,2675,363
0,0,40000000,11,152,2676,1
0,1,22649291,3,139,2677,3
0,1,20000000,2,83,2678,1
0,0,70000000,10,146,2679,18
1,1,200000000,26,142,2680,1
0,0,22649291,5,122,61,1
0,0,10000000,3,129,422,1
0,0,22649291,9,97,2681,1
0,1,7000000,5,112,2682,18
0,0,65000000,13,94,2,1
1,0,44000000,10,130,45,1
0,0,22649291,6,103,1943,26
0,1,900000,0,97,2683,4
0,1,95000000,20,105,2684,18
0,1,50000000,8,116,2685,364
1,0,5000000,5,90,2686,1
1,0,3500000,2,97,0,28
0,0,22649291,1,98,2687,1
0,0,8000000,141,154,2688,1
0,0,22649291,6,109,76,1
0,1,15000000,6,90,2689,1
1,1,85000000,8,82,2690,144
0,1,130000000,9,96,2691,1
0,0,28000000,8,135,1322,1
0,1,12000000,0,120,0,1
1,0,20000000,7,92,2692,1
0,1,32000000,12,92,2693,1
0,0,25000000,5,105,2694,1
0,0,55000000,4,107,76,1
0,0,22649291,1,82,2695,29
0,0,1746964,12,147,2696,365
1,0,806948,37,109,2697,1
0,0,32000000,9,97,2698,44
0,0,8000000,12,111,2699,1
1,1,125000000,12,106,2700,1
0,1,2500000,4,112,0,0
0,0,6900000,9,101,2701,1
0,1,22649291,5,150,2702,366
0,1,150000000,21,111,269,1
1,0,22649291,1,96,0,0
0,1,4750000,4,98,2703,1
0,0,22649291,13,118,2704,1
0,0,25000000,6,101,2705,1
0,0,200000,4,80,2706,1
0,0,8200000,10,107,2707,1
0,1,185000000,29,118,2708,1
0,0,22649291,3,98,2709,1
0,1,4000000,7,96,2710,367
0,1,9500000,5,126,2711,3
1,0,900000,8,92,2712,1
1,1,115000000,17,114,2713,1
0,1,73000000,11,97,2714,368
0,0,22649291,4,110,2715,369
1,0,6500000,5,98,2716,88
0,1,29000000,12,137,2717,8
0,1,30000000,7,63,620,1
0,0,38000000,11,133,2718,370
0,0,22649291,5,92,2719,1
0,0,4000000,2,110,2720,1
0,0,22649291,1,95,2721,235
1,0,22000000,10,97,2722,1
0,0,22649291,1,95,2723,28
0,1,22649291,6,93,2724,24
0,0,14700000,14,103,1471,1
0,0,3100000,7,118,2725,1
1,0,27000000,10,97,2726,1
0,0,14400000,11,141,2727,6
0,1,15000000,8,104,2728,18
0,1,17000000,14,86,2729,1
0,0,30000000,4,113,26,1
0,0,3500000,5,89,2523,1
0,1,37000000,9,188,2730,1
1,0,600000,13,132,2731,186
0,0,3000000,14,104,2732,9
1,1,180000000,34,131,2733,4
0,1,13000000,10,117,2734,29
0,1,22649291,8,121,2735,371
0,0,12000000,5,131,2736,51
0,0,40000000,6,103,2737,88
0,0,200000,0,109,2738,154
0,0,10000000,12,89,2739,1
0,0,18000000,10,108,2740,372
0,0,22649291,5,110,2741,1
1,0,38000000,13,107,66,1
0,0,22649291,9,100,2742,1
0,1,22649291,1,95,0,1
1,0,5000000,10,117,2743,1
0,0,5000000,0,91,0,28
0,1,30000000,10,87,2744,373
1,1,13000000,10,152,2745,374
0,1,130000000,12,95,1972,1
0,0,22649291,2,96,2746,1
0,1,16000000,12,110,2747,1
0,0,22649291,4,97,26,1
1,1,85000000,18,107,2748,1
0,0,4000000,6,102,2749,1
0,0,780000,2,93,2750,375
0,0,2000000,1,111,2751,1
0,0,22649291,0,126,2345,1
0,0,22649291,4,102,2752,1
0,0,38000000,15,111,2753,1
0,1,57000000,14,95,2754,376
1,0,18000000,12,96,2755,1
1,1,4000000,23,78,2,1
0,0,22649291,5,93,2756,1
0,0,31000000,6,101,2757,59
0,0,5000000,6,111,2758,6
0,0,2000000,2,119,73,1
0,1,25000000,8,130,2266,28
1,0,22649291,8,99,2759,88
0,1,40000000,8,104,2760,1
0,0,22649291,5,97,2761,1
0,0,25000000,16,122,2762,1
1,1,18000000,1,103,156,1
1,0,3000000,9,97,2763,6
0,0,22649291,4,100,2764,1
0,0,45000000,15,119,2765,1
0,0,21000000,10,110,66,1
0,0,8200000,9,174,2766,1
0,0,55000000,8,92,2767,43
0,0,900000,8,103,2768,98
0,1,40000000,13,77,2769,1
1,0,137000000,10,106,2770,10
0,0,22649291,6,134,73,1
1,0,22649291,10,101,2771,26
0,0,10000000,10,126,73,1
0,0,45000000,4,123,2772,1
0,1,82000000,14,110,2773,1
0,0,3200000,7,123,2774,1
0,0,7000000,9,142,2775,1
1,1,7500000,1,110,0,0
0,0,22649291,11,108,66,377
1,1,170000000,35,112,1438,1
0,1,15000000,9,131,2776,1
0,0,22649291,9,112,2777,378
0,1,22649291,1,89,2778,1
0,1,22649291,2,93,2779,8
0,0,1800000,9,94,2780,1
0,0,22649291,13,123,76,1
0,0,36000000,13,106,2781,1
0,1,70000000,10,91,2782,150
0,0,22649291,20,114,2783,6
0,0,22649291,9,113,64,1
0,0,24000000,0,107,0,1
0,1,150000000,18,166,2784,1
0,0,40000000,4,124,2785,379
0,0,12500000,17,120,2786,1
0,0,20000000,11,135,2787,1
0,1,20000000,6,111,2788,1
0,0,1300000,14,114,2789,1
0,0,70000000,17,104,2790,1
0,0,10000000,5,138,2791,28
0,0,55000000,12,105,2792,44
1,0,6000000,12,130,2793,1
0,1,25000000,9,111,2794,1
0,1,20000000,6,90,2795,10
1,0,4700000,10,101,58,1
1,0,19000000,4,138,26,1
0,0,22649291,1,92,2796,96
1,0,21150000,7,92,2797,59
0,1,5000000,2,95,0,0
0,1,22649291,8,104,2798,1
0,0,80000000,9,83,2799,1
0,1,175000000,14,94,1972,1
0,0,860000,3,97,2800,6
0,0,145000000,12,137,2801,1
0,0,50000000,12,139,2802,1
1,0,12600000,14,84,2803,21
1,0,3000000,23,86,2804,25
0,1,90000000,11,113,2805,1
1,0,70000000,8,87,2806,1
0,0,28000000,18,113,2807,25
0,0,11000000,5,91,618,88
1,1,80000000,9,100,2808,1
0,1,12000000,14,128,2809,1
0,0,22649291,2,144,2810,51
0,1,35000000,10,88,2811,1
0,0,5000000,6,99,898,1
1,0,1200000,7,90,2812,1
0,0,22649291,1,113,2813,29
0,1,4180000,2,153,2814,2
1,1,6500000,9,142,2815,18
0,1,4000000,11,90,2816,1
1,0,2500000,2,100,31,1
0,0,68000000,11,131,2817,380
0,0,22649291,2,105,2818,8
0,1,30000000,6,84,2819,1
0,0,92000000,9,113,2820,1
0,0,22649291,5,95,2821,21
1,0,21000000,5,104,2822,1
0,1,7000000,6,106,2823,1
0,0,23000000,6,117,2824,10
1,0,22649291,6,104,1322,1
0,1,10000000,15,126,2825,88
0,0,20000000,8,120,2826,25
0,0,22649291,13,118,2827,1
0,1,7800000,14,102,2828,56
1,1,47000000,13,92,2829,1
0,0,312000,1,102,1846,1
1,0,10000000,6,101,2830,48
0,0,24000000,11,97,2831,1
0,1,4800000,11,121,2832,121
0,1,22649291,10,97,2833,381
0,1,6000000,4,108,2834,29
1,0,3000000,9,87,2835,1
0,0,22649291,15,117,2836,1
1,1,165000000,12,93,1972,1
0,1,22649291,1,116,0,1
0,0,22649291,2,103,2837,8
0,0,25,4,145,2838,63
1,1,15000000,5,87,2839,1
0,0,22000000,6,138,2840,1
0,0,22649291,5,102,2841,169
0,0,25000000,10,111,2842,1
0,0,12000000,4,108,758,1
0,0,823258,5,105,2843,8
0,1,22649291,1,97,2844,382
0,0,1816720,4,90,0,383
0,0,2900000,9,117,2845,29
0,0,3700000,2,102,73,1
1,0,16000000,8,93,2846,1
0,1,22649291,11,93,2847,1
0,0,20000000,13,107,2848,1
1,1,79000000,9,94,2849,1
1,0,22649291,3,82,2850,70
0,0,24000000,8,134,2851,1
0,0,22649291,0,88,47,1
0,0,375000,6,100,45,1
0,1,22649291,11,128,2852,6
1,1,45000000,11,101,61,384
0,0,11500000,12,134,2853,18
1,0,22649291,7,125,2854,243
0,0,3500000,11,96,2438,1
1,0,38000000,8,84,1106,1
0,0,500,0,87,0,3
1,0,52000000,11,108,2855,24
0,0,140000000,11,183,2760,1
1,1,37000000,31,122,2856,1
0,0,75000000,8,104,2857,1
0,0,22649291,2,82,2858,1
0,0,22649291,2,92,26,1
0,0,17000000,8,87,224,1
1,0,20000000,13,96,2859,1
1,1,93000000,42,105,2860,1
0,1,10000000,5,101,2861,44
0,1,22649291,1,77,2862,385
0,0,70000000,10,112,2863,333
0,0,22649291,8,135,2864,1
0,0,35000000,7,132,2865,18
0,0,22649291,1,106,2866,29
0,1,2400000,5,90,2867,1
1,0,17000000,7,117,2868,1
0,0,1300000,0,162,0,2
1,0,10500000,8,98,73,1
0,1,79000000,7,91,2869,1
0,0,140000000,13,151,2870,1
0,0,22649291,12,118,2871,386
0,0,22649291,9,98,2872,45
0,0,9000000,8,84,1106,88
0,0,5904067,7,104,2873,167
0,1,17000000,6,107,2874,1
0,0,4000000,14,93,2875,88
0,1,15000000,15,90,2876,24
0,1,2400000,2,153,1790,387
0,0,1800000,7,114,7,1
0,0,2500000,14,82,2877,1
1,1,200000000,11,127,2459,1
1,1,22649291,7,104,2878,1
1,0,55000000,15,143,2879,18
0,0,22649291,11,118,2880,388
0,1,12400000,8,142,2881,383
0,0,22649291,10,87,2882,1
0,1,22649291,3,95,2883,1
0,0,22649291,2,90,2884,1
1,0,35000000,8,132,26,1
1,0,80000000,18,85,303,1
0,0,9000000,7,123,1166,1
0,0,30000000,6,102,2885,88
1,1,130000000,17,90,1972,1
0,0,22649291,0,92,0,1
0,1,22649291,2,106,2886,89
0,0,3500000,5,97,31,1
1,0,50000000,12,104,541,1
0,0,20000000,9,123,2887,199
0,0,7000000,1,105,2854,1
1,0,20000000,11,97,2888,1
1,0,22649291,6,99,61,1
0,0,22649291,4,116,45,1
0,0,75000000,15,109,2889,1
0,0,6000000,9,89,713,1
0,1,160000000,14,123,2890,10
1,0,45000000,8,94,2891,389
1,0,130000,11,79,2892,1
0,1,10000000,11,90,2893,1
0,0,36000000,2,155,517,1
0,0,7400000,0,169,2894,2
0,0,3900000,2,143,73,1
0,0,112000000,8,85,2895,1
0,0,2000000,2,101,2896,1
0,0,45000000,10,86,64,1
0,0,65000000,9,98,2897,1
1,0,226408,11,93,73,1
0,1,85000000,7,115,2898,1
0,0,22649291,3,85,76,1
0,1,22649291,2,117,2899,1
0,1,50000000,7,88,2900,1
0,0,5500000,4,120,2901,390
0,0,22649291,1,105,2902,391
0,1,30000000,14,132,2903,1
1,0,29000000,16,115,2904,1
0,0,40000000,11,108,2905,1
0,0,2800000,9,106,2906,1
0,0,15000000,9,85,2907,1
0,1,20000000,11,89,2908,1
0,1,700000,12,107,2909,1
1,0,22649291,2,72,2910,51
0,1,40000000,5,111,2911,1
0,1,180000,0,85,0,1
0,1,31000000,11,138,2912,1
0,0,20000000,18,105,224,1
0,0,25000000,4,114,2913,1
1,1,15000000,19,107,2914,25
0,1,2000000,2,102,0,0
1,0,10000000,4,83,2915,1
0,0,140000000,13,108,2916,21
0,0,22649291,13,95,2917,1
0,0,22649291,1,98,2918,1
0,1,24000000,6,113,2919,1
0,0,10000000,13,96,145,59
0,1,300000,1,112,2920,2
0,0,7000000,11,89,2921,1
0,1,6600000,3,112,2922,1
0,0,22649291,0,84,2923,1
1,0,22649291,2,100,26,1
0,1,20000000,13,108,2924,1
0,0,22649291,5,102,2925,1
0,1,400000,1,100,0,0
0,0,32000000,11,107,2926,145
0,0,22649291,5,109,2927,392
0,1,10000000,6,90,2928,1
1,0,22649291,11,106,1322,1
0,0,350000,8,99,2929,1
0,1,80000000,6,112,2930,103
1,0,62000000,8,141,2304,1
0,0,1000000,8,107,2931,1
1,1,35000000,11,96,2932,393
0,1,75000000,10,102,2933,1
0,0,22649291,1,103,66,1
1,1,85000000,12,116,2934,1
0,1,160000000,13,123,2935,394
1,0,13000000,6,114,2142,1
0,1,5000000,7,107,2936,6
0,0,22649291,5,108,61,1
0,0,2000000,0,81,0,28
0,1,6400000,5,93,2530,56
0,1,1000000,15,95,2937,1
0,0,19000000,2,89,89,1
0,0,40000000,11,110,2938,260
1,0,9500000,8,98,2939,1
0,0,60000000,13,119,2940,88
0,0,25000000,12,97,2941,88
1,1,70000000,13,101,2942,395
0,1,31192,2,89,0,6
0,0,6700000,7,87,2943,1
0,0,22649291,5,102,342,1
0,0,22649291,1,140,2944,396
0,1,5641880,9,93,2945,253
0,1,3600000,1,110,1204,28
0,0,22649291,8,118,2946,1
0,1,18000000,8,82,2947,1
0,1,25000000,13,85,2948,1
0,0,22649291,12,127,2949,397
1,0,155000000,12,113,2950,1
0,0,40000000,13,149,2430,1
0,0,1900000,4,93,2951,1
0,1,75000000,13,123,2952,1
0,0,18000000,17,100,2953,1
1,0,110000000,15,128,2954,18
0,0,30000000,3,108,224,1
0,1,25000000,7,121,2955,398
0,0,22649291,6,93,1002,18
0,1,6000000,7,86,2956,1
1,0,6000000,6,103,2957,18
0,0,1530000,6,185,0,2
0,0,22649291,1,101,2958,1
0,0,22649291,10,84,2959,399
0,0,20000000,11,100,1106,1
0,0,22649291,9,104,2884,1
0,0,12000000,10,88,2960,1
0,0,3500000,5,116,61,6
0,1,60000000,18,96,2961,1
0,0,50000000,9,124,2962,1
0,1,3000000,1,111,2963,30
0,0,22649291,1,98,2964,28
0,0,22649291,11,94,2965,1
0,0,22649291,5,109,2966,383
0,1,25000000,6,110,2967,1
0,0,240000,1,127,2968,2
0,0,40000000,5,101,2969,400
1,1,994000,5,89,2970,6
1,1,175000000,12,118,2971,260
0,0,2700000,8,93,2972,4
0,0,100000000,13,104,2973,1
1,1,125000000,147,123,2974,1
0,1,22649291,7,83,2,1
0,0,22649291,3,97,2975,71
0,0,12000000,4,108,2976,1
0,1,22649291,1,86,2977,1
0,0,22649291,2,120,2978,401
0,0,8000000,0,121,0,0
0,1,110000000,69,107,2979,402
1,0,5210000,7,112,2980,193
0,0,4000000,13,99,2981,8
1,0,15000000,6,89,129,1
0,0,22649291,6,91,49,1
0,0,4800000,0,99,2982,1
0,0,35000000,8,115,2983,1
0,1,22649291,5,90,2984,35
1,0,3500000,4,113,2985,6
0,1,22649291,0,105,0,0
0,0,22649291,0,98,2624,32
1,0,13200000,14,115,26,1
0,1,22649291,6,84,2986,152
0,1,2000000,4,97,0,0
0,0,12000000,9,100,31,1
0,0,22649291,9,119,2987,6
0,0,22649291,10,99,2988,1
0,0,750000,7,85,2989,1
0,0,17311,1,59,2990,1
0,0,22649291,4,119,2991,1
0,0,20000000,30,134,2992,116
1,0,60000000,7,94,2993,1
1,1,11000000,42,121,2994,1
0,1,40000000,9,109,2995,18
0,0,5000000,16,175,2996,151
0,1,35000000,16,121,2997,1
0,1,30000000,17,89,2998,67
0,0,15050000,1,155,2999,2
0,0,18000000,1,98,3000,1
1,1,5773100,4,98,3001,6
0,1,22649291,9,93,3002,88
0,1,30000000,18,100,3003,1
0,0,80000000,5,101,3004,1
0,1,100000,7,111,241,1
0,0,22649291,0,90,0,0
0,0,25000000,8,94,26,1
0,0,3,0,100,0,0
0,1,70000000,15,127,3005,403
